PGA,AGE,LOCA,ACS1,LOCA1_time,ACS1_time,reactor
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_19,AGE_20,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_19,AGE_10,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State1,State5,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_19,AGE_20,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_20,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_08,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_19,AGE_10,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State2,State4,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State1,State1,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_12,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_17,AGE_10,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_18,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_08,AGE_40,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_09,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_19,AGE_30,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_15,AGE_20,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_14,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_14,AGE_30,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_17,AGE_30,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State2,State3,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_14,AGE_30,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_20,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State1,State5,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State1,State5,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_16,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_12,AGE_50,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_16,AGE_10,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_19,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_19,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State1,State0,Safe
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State1,State1,Safe
PGA_06,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State1,State1,Safe
PGA_17,AGE_10,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State2,State3,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_19,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_15,AGE_20,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State2,State2,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_07,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State2,State0,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_20,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_17,AGE_20,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_13,AGE_30,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_16,AGE_20,YES_LOCA,YES_ACS1,State2,State0,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_18,AGE_10,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_19,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_12,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_16,AGE_30,YES_LOCA,YES_ACS1,State2,State5,Safe
PGA_17,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_16,AGE_20,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_20,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_06,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_17,AGE_30,YES_LOCA,YES_ACS1,State1,State5,Safe
PGA_15,AGE_20,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_20,AGE_20,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State4,State1,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_19,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State2,State3,Safe
PGA_15,AGE_30,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State4,State5,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State2,State2,Safe
PGA_20,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_17,AGE_20,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State1,State3,Safe
PGA_06,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_19,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_19,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_16,AGE_10,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_16,AGE_20,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_19,AGE_20,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_12,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_13,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State3,State2,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State3,State4,Safe
PGA_17,AGE_30,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State1,State1,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_07,AGE_50,YES_LOCA,YES_ACS1,State3,State0,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_10,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_10,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State2,State4,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State1,State0,Safe
PGA_09,AGE_50,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State1,State1,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_09,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_08,AGE_50,YES_LOCA,YES_ACS1,State3,State0,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State1,State3,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State5,State6,Safe
PGA_13,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_06,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_19,AGE_50,YES_LOCA,YES_ACS1,State2,State1,Safe
PGA_15,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_12,AGE_30,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State5,State4,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_12,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_18,AGE_10,YES_LOCA,YES_ACS1,State1,State2,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_18,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State2,State2,Safe
PGA_16,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_15,AGE_30,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_19,AGE_20,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_16,AGE_40,YES_LOCA,YES_ACS1,State1,State5,Safe
PGA_09,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_06,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_15,AGE_10,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_08,AGE_40,YES_LOCA,NO_ACS1,State1,State6,Safe
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State2,State6,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State1,State0,Safe
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State1,State5,Safe
PGA_18,AGE_20,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_13,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_18,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_11,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_10,AGE_40,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State1,State1,Safe
PGA_12,AGE_30,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_09,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Safe
PGA_15,AGE_30,YES_LOCA,YES_ACS1,State1,State0,Safe
PGA_10,AGE_20,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_10,AGE_50,YES_LOCA,YES_ACS1,State1,State3,Safe
PGA_15,AGE_30,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_08,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Safe
PGA_06,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State1,State0,Safe
PGA_10,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_15,AGE_20,YES_LOCA,NO_ACS1,State2,State6,Safe
PGA_20,AGE_40,YES_LOCA,YES_ACS1,State1,State3,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State2,State4,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_18,AGE_40,YES_LOCA,YES_ACS1,State0,State0,Safe
PGA_12,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_17,AGE_30,YES_LOCA,NO_ACS1,State2,State6,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Failed
PGA_15,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Failed
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Failed
PGA_19,AGE_20,YES_LOCA,YES_ACS1,State0,State3,Safe
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State1,State4,Failed
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State1,State6,Safe
PGA_18,AGE_20,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_16,AGE_30,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_07,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Failed
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Failed
PGA_13,AGE_30,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_16,AGE_20,YES_LOCA,YES_ACS1,State0,State3,Failed
PGA_15,AGE_30,YES_LOCA,YES_ACS1,State0,State1,Failed
PGA_18,AGE_30,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_07,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_15,AGE_50,YES_LOCA,YES_ACS1,State0,State4,Safe
PGA_11,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Failed
PGA_11,AGE_40,YES_LOCA,NO_ACS1,State0,State6,Safe
PGA_16,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Failed
PGA_12,AGE_50,YES_LOCA,YES_ACS1,State0,State1,Failed
PGA_17,AGE_30,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_12,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_20,AGE_30,YES_LOCA,YES_ACS1,State2,State1,Failed
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State2,Failed
PGA_14,AGE_40,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_08,AGE_50,YES_LOCA,YES_ACS1,State0,State0,Failed
PGA_13,AGE_30,YES_LOCA,YES_ACS1,State0,State3,Failed
PGA_11,AGE_40,YES_LOCA,YES_ACS1,State0,State2,Failed
PGA_17,AGE_50,YES_LOCA,YES_ACS1,State0,State6,Safe
PGA_19,AGE_20,YES_LOCA,YES_ACS1,State0,State5,Safe
PGA_14,AGE_50,YES_LOCA,YES_ACS1,State1,State4,Safe
PGA_13,AGE_50,YES_LOCA,YES_ACS1,State0,State3,Failed
